name,downloads
flask-swagger,1793
python-barbicanclient,1792
igitt,1791
quality-report,1790
validators,1788
pyroute2,1783
mongoengine,1783
rollbar,1779
fqtool,1779
stestr,1774
anyrl,1770
python-iptables,1768
recommonmark,1767
asgiref,1764
django-taggit,1761
qds-sdk,1761
flake8-docstrings,1760
pyficache,1759
ocflib,1754
backports-lzma,1752
shellescape,1744
github3-py,1743
cookiejar,1734
azure-mgmt-scheduler,1732
distro,1728
bashate,1723
diff-match-patch,1722
fslpy,1722
uvloop,1719
us,1718
ggplot,1717
django-ipware,1715
wordsegment,1714
brunel,1712
pysaml2,1711
spglib,1702
python-designateclient,1701
inflect,1697
livereload,1696
django-aparnik,1694
gcdt,1694
cairosvg,1687
gplib,1687
pyotp,1686
oslo-rootwrap,1686
rjsmin,1685
pylibmc,1684
ciscoconfparse,1683
gm,1682
piqueserver,1677
protect,1677
nodeenv,1676
repoze-who,1666
python-gnupg,1666
exp10it,1666
pyusb,1666
webargs,1665
murmurhash,1664
taskflow,1661
django-reversion,1659
fakeredis,1656
structlog,1655
progressbar,1652
flarecast-utils,1652
pantsbuild-pants,1651
azure-mgmt-logic,1648
homeassistant,1645
mechanize,1642
twine,1634
colander,1628
python-telegram-bot,1628
flaky,1624
ryu,1620
python-crontab,1619
urwid,1615
robotframework-selenium2library,1612
cytoolz,1612
automaton,1612
azure-servicefabric,1612
webapp2,1611
first,1610
sos,1610
m2crypto,1607
analytics-python,1599
preshed,1598
oslo-privsep,1597
hdx-python-api,1596
instruction-graph,1595
tempora,1594
oslosphinx,1592
channels,1589
fusepy,1588
python-snappy,1588
mmh3,1588
django-swstags,1587
sklearn-pandas,1586
coloredlogs,1584
fab-support,1581
pika-pool,1578
cheroot,1573
lyricscorpora,1573
nprime,1570
cvxopt,1568
rcssmin,1564
oriole-service,1562
imageio,1562
django-phonenumber-field,1560
seleniumbase,1560
web3,1555
social-auth-core,1554
plac,1554
fiona,1553
uritemplate-py,1553
ovsdbapp,1553
funcy,1552
graphene,1547
runjenkins,1547
appier-extras,1535
hashids,1533
tensorci-client,1531
naked,1529
pylint-plugin-utils,1522
jenkinsapi,1516
cymem,1515
django-polymorphic,1513
click-plugins,1510
py2-ipaddress,1510
googlemaps,1508
vqsr-cnn,1505
parsley,1504
eelbrain,1497
nose-parameterized,1495
social-auth-app-django,1492
aenum,1490
jumper,1490
indy-node-dev,1489
pytest-metadata,1488
bcdoc,1487
snakebite,1485
ehforwarderbot,1484
logging,1476
esgitit,1474
comiccrawler,1460
cerberus,1459
ovs,1458
pyghmi,1456
tinyrpc,1456
stylelens-dataset,1455
pylint-django,1455
thriftpy,1453
hupper,1453
sip,1451
javaobj-py3,1449
sos-notebook,1448
findspark,1448
snowflake-connector-python,1447
azure-mgmt-documentdb,1447
django-localflavor,1446
pre-commit,1445
pyjks,1445
ufload,1442
pysmi,1441
tblib,1440
pytest-sugar,1438
google-auth-oauthlib,1434
transaction,1433
txaio,1432
shortuuid,1432
django-pipeline,1431
portend,1427
dask,1426
skitai,1423
hammr,1422
pytest-pylint,1419
twofish,1418
pep257,1416
pyldap,1415
kudubot,1415
aimmo,1410
couchbase,1409
conan,1408
eth-tester,1401
nimbus-scrapy,1401
cov-core,1400
django-oauth-toolkit,1397
flask-babel,1395
django-import-export,1394
proto-google-cloud-spanner-v1,1392
scapy,1391
proto-google-cloud-spanner-admin-instance-v1,1390
rauth,1389
polib,1383
jolokia,1383
appnexus-client,1380
os-brick,1378
proto-google-cloud-spanner-admin-database-v1,1377
ddtrace,1374
castellan,1374
gapic-google-cloud-spanner-admin-database-v1,1373
edxval,1371
gabbi,1371
positional,1371
pmxbot,1370
gapic-google-cloud-spanner-admin-instance-v1,1370
natsort,1368
aiogram,1368
pinkeys,1367
memory-profiler,1364
jenkins-job-builder,1364
icalendar,1364
gapic-google-cloud-spanner-v1,1355
restructuredtext-lint,1352
grequests,1350
requests-ntlm,1350
graphql-core,1348
mxnet-cu80,1347
oslotest,1347
aima3,1347
pytimeparse,1343
xattr,1342
onegov-gazette,1341
flask-restplus,1341
sandwichcloud-deli,1339
pluginbase,1338
llvmlite,1337
asyncwebsockets,1334
django-celery-beat,1332
promise,1332
ct,1330
dateutils,1327
agileutil,1323
setuptools-odoo,1321
django-picklefield,1321
rfc3987,1319
tables,1319
django-tables2,1317
qrl,1314
os-win,1314
tooz,1314
neutron-lib,1313
lightgbm,1311
videogrep,1310
toolkity,1307
versiontools,1305
nflx-genie-client,1304
tox-travis,1303
pyfrp,1301
orderedset,1299
flask-principal,1296
cligj,1291
catboost,1288
plenum-dev,1288
google-cloud-dataflow,1287
ntlm-auth,1287
patch,1286
clint,1285
impyla,1285
pyfai,1284
xvfbwrapper,1284
django-bootstrap3,1283
rtree,1282
emiz,1280
venv-update,1278
teamcity-messages,1278
oslo-vmware,1276
frozendict,1274
azure-multiapi-storage,1273
hew,1268
iotile-core,1267
requests-mv-integrations,1267
mox3,1265
google-apputils,1258
node-semver,1257
django-webpack-loader,1257
pyhs2,1257
nomenclate,1255
os-xenapi,1249
cchardet,1248
glance-store,1247
crypto,1246
onegov-election-day,1245
gsutil,1244
django-formtools,1244
pyexecjs,1242
sqlalchemy-redshift,1241
pantsbuild-pants-contrib-errorprone,1241
weasyprint,1238
pyspark,1237
ephem,1236
django-widget-tweaks,1236
tendenci,1236
configrender,1235
bugsnag,1233
otree-core,1229
sgs,1227
credstash,1225
cachecontrol,1224
pytest-cache,1223
analytracks,1223
csvkit,1223
kemlglearn,1222
toil-rnaseq,1222
wsme,1219
azure-mgmt-common,1218
argon2-cffi,1212
boxsdk,1211
args,1209
phenum,1206
jupyterthemes,1206
persistent,1206
mandrill,1206
django-grappelli,1206
editdistance,1206
moesifdjango,1200
chaostoolkit-reporting,1198
psycogreen,1196
pytesseract,1195
setupmeta,1195
socksipy-branch,1193
facebookads,1187
fluidasserts,1187
arvados-python-client,1187
mypy-extensions,1185
django-seal,1185
h2,1184
huhuseg,1183
sentimental-skk,1183
cpymad,1181
nose-exclude,1178
ipwb,1178
samewords,1178
apache-libcloud,1177
python-stdnum,1173
startpoint,1172
gplaycli,1171
jsonpath-rw-ext,1170
chirimbolito,1170
chat,1169
flex,1167
pyquery,1166
zope-sqlalchemy,1165
schema,1165
django-redis-cache,1164
mkdocs,1162
flotils,1160
bgen-reader,1160
graphql-relay,1159
geohash,1158
mkdocs-material,1158
udatetime,1157
flask-bcrypt,1154
jsmin,1152
beaver,1152
robotframework-requests,1150
mysql-connector,1149
textblob,1148
python-whois,1146
pattern,1146
rx,1142
bravado-core,1139
antshell,1137
poster,1136
spark-sklearn,1134
django-haystack,1133
wqt,1133
ndexutil,1128
phonopy,1125
plaster,1124
onegov-core,1124
django-guardian,1124
pywinrm,1123
scription,1123
flask-api,1122
funcparserlib,1122
numba,1122
tb-nightly,1122
pygeoip,1119
plaster-pastedeploy,1117
py-zabbix,1117
tamcolors,1115
folium,1113
rdflib,1110
emoji,1109
multipledispatch,1107
intervaltree,1106
patool,1105
kinto-dist,1104
branca,1104
corpkit,1102
tushare,1101
sovrin-node-dev,1096
sqreen,1096
libvirt-python,1096
pyphen,1095
shadowsocks,1095
easy-thumbnails,1094
deepspeech,1093
tcell-agent,1093
campbel,1093
pyscreenshot,1093
foremast,1092
blockdiag,1092
data-refinery,1090
lru-dict,1089
flake8-tidy-imports,1088
pyformance,1087
eikon,1087
drf-nested-routers,1086
juriscraper,1086
etcd3,1082
astor,1079
dbfread,1077
agate,1077
sshtunnel,1076
django-treebeard,1076
sentry,1075
pywin32-ctypes,1074
kiwisolver,1073
segpy,1072
kant,1071
kafka,1068
cursive,1068
scikit-kinematics,1067
pyenchant,1066
pydns,1063
flake8-comprehensions,1063
braintree,1063
onegov-org,1061
nose-timer,1061
backport-collections,1059
fabric3,1058
denarius,1057
parlay,1056
pysubnettree,1056
pycrypt,1056
ecco-v4-py,1055
webassets,1054
slackweb,1052
tinycss2,1051
weakrefmethod,1050
carpalrouting,1050
flake8-quotes,1049
mercurial,1047
model-mommy,1044
pyrfa,1043
flask-oauthlib,1041
os-vif,1040
django-tools,1040
tripleo-heat-templates,1038
honcho,1038
progress,1038
pywinpty,1036
tlslite,1035
docassemble-webapp,1035
indy-plenum-dev,1034
pmagpy,1033
fonttools,1031
ratelim,1030
brewer2mpl,1029
coconut-develop,1028
cryptopass,1028
mrbles,1027
iceman,1024
wikitextparser,1022
testresources,1020
pyudev,1017
appium-python-client,1016
onegov-form,1014
nose-xunitmp,1014
iptools,1012
aws-amicleaner,1011
demjson,1009
cssselect2,1008
aspy-yaml,1007
scopus-wp,1007
detector,1007
btrees,1006
holidays,1006
yattag,1005
agate-sql,1001
shyaml,1001
scrapyd,1001
django-celery-results,1001
bunch,998
superdesk-core,996
django-anymail,995
quokka,994
shutilwhich,994
skew,993
lal,993
bitstring,992
daphne,991
pydffi,989
django-navsy,989
deepdrive,988
fondue,987
wxpython,987
aws-requests-auth,987
streamcorpus-pipeline,987
speedtest-cli,987
baymax,985
pysqlite,985
python-coveralls,985
pyopengl,985
flake8-pep3101,984
graphmachine,984
depynd,983
tempest,983
opencv-contrib-python,981
django-ses,981
azure-cli-storage,981
redmine2jira,980
webrequest,979
gnupg,978
rowingdata,975
chaosiq,974
fluent-logger,973
outlet,973
pyte,973
sovrin-common-dev,973
django-jsonfield,972
timeout-decorator,972
flask-assets,972
comala-workflows,971
azure-cli-acr,969
rpy2,969
gemato,968
hyperframe,967
modelhub,967
telethon,966
pysynonym,965
django-graphql-geojson,965
azure-cli-acs,964
thefuck,962
hellodeploy,962
ipyparallel,962
schedule,961
pypowervm,960
probableparsing,960
parameterizedtestcase,960
gentools,958
pygresql,958
pytzdata,957
setuptools-markdown,957
woger,956
pygal,955
django-autocomplete-light,955
doc8,953
seqdiag,952
subunit2sql,952
django-templated-mail,951
hpack,951
kinto,949
radish-bdd,948
vpp-config,947
httpie,947
dynamo3,947
scrapyd-client,947
hurry-filesize,947
cdrouter,947
pyrebrickable,946
pandas-datareader,945
dashbot,943
vertica-python,943
vcrpy,942
azure-mgmt-containerservice,941
sorl-thumbnail,940
jsbeautifier,940
pystan,939
semver,939
azure-cli-batch,939
furl,939
pylru,938
django-tastypie,935
public,934
pantsbuild-pants-contrib-android,933
ironic-ui,929
aspen,927
delorean,926
readwise-django-rq-scheduler,925
docassemble,925
bincrafters-package-tools,924
tgt-grease,922
pyro4,921
os-traits,921
pytest-peach,921
os-api-ref,920
spyder,920
pypinfo,919
flake8-junit-report,919
etcd3gw,915
cfgv,915
bosi,914
pantsbuild-pants-contrib-python-checks,913
pyfrc,913
agate-dbf,911
jenkins-epo,911
azure-cli-core,910
face-recognition,910
pyfakefs,909
python-etcd,909
python-engineio,909
crochet,908
dxpy,908
statistics,908
pyscaffold,908
googledatastore,907
pysmb,907
ansible-lint,902
pytest-pep8,901
py-moneyed,900
couchdb,898
rq-scheduler,898
isotel-iot,895
moderngl,895
get,894
glances,893
rdk,892
pudb,892
brawlstars,891
django-recaptcha,891
flask-socketio,891
alas-ce0-client,889
xstatic-jquery,888
pymemcache,887
intelhex,886
suds-requests,886
msg-topgen,886
stups-senza,886
rednose,886
ipy,885
scalapb-pants,885
reclaimer,884
pex,884
fake-useragent,884
python-socketio,883
xstatic-bootstrap-scss,882
trollius,882
microversion-parse,881
sphinxcontrib-seqdiag,880
scapy-python3,879
bezier,879
python-prctl,878
